Denominacion;Latitud;Longitud;COT 30 cm
P 155;-36,5519167;-60,79075;55,9132
P 156;-36,5544167;-61,78891667;28,8
P 157;-38,6438333;-62,18866667;35,7421
P 158;-38,6379167;-62,19811111;62,233692
P 159;-38,732;-61,30077778;75,86092593
P 160;-38,8627778;-60,97008333;48,4947
P 161;-38,1203889;-62,04019444;47,0323
P 162;-38,12025;-62,04058333;23,95602
51;-38,806003;-60,351883;90,90969722
70;-37,248889;-63,260556;43,08074869
73;-36,073611;-63,149444;32,10977319
154;-38,207964;-58,674303;106,7428967
197;-38,362847;-60,459175;101,3406331
223;-36,928036;-62,866797;32,06366395
1245;-38,769167;-62,670556;6,291798161
1253;-38,728056;-62,609167;20,99263816
1254;-39,093697;-62,358936;19,60198075
1255;-38,8988;-62,654372;29,95796854
1256;-39,379772;-62,01485;57,55657882
1258;-39,258958;-62,364219;30,05271681
1262;-38,939481;-62,781267;23,50989565
1267;-38,736653;-62,611856;6,384424422
1269;-38,773747;-62,215928;18,5275453
1271;-39,314142;-62,168466;76,83094157
1272;-38,727758;-62,913303;96,83109455
1273;-38,817728;-62,767567;10,83170133
1274;-38,893047;-62,477964;6,503877582
1282;-38,805656;-62,965144;26,95419018
1283;-38,846508;-62,9732;22,22078238
1284;-38,706192;-62,976775;21,35648637
1285;-38,960406;-62,346186;49,5004959
1288;-38,674772;-62,849639;26,99430303
1291;-38,769697;-62,667964;12,79647623
1292;-38,969111;-62,736967;34,35936283
1293;-38,885731;-62,964592;35,9601717
1296;-38,716531;-62,552647;20,14206212
1297;-38,862897;-62,684669;46,35061129
1299;-39,295722;-62,230444;31,73526276
1303;-38,788706;-62,970433;31,58055491
1304;-39,026253;-62,339378;43,91732608
1309;-39,140872;-62,396294;51,85006131
1310;-39,020836;-62,674864;41,72229558
1311;-38,900819;-62,452453;33,87692213
1314;-38,688872;-62,779456;29,45264579
1325;-38,982936;-62,469461;25,8257747
1327;-38,769381;-62,142578;78,52814647
1337;-38,753744;-62,081203;29,94635996
1338;-38,75055;-62,037375;57,05757613
1339;-38,772672;-62,004481;15,72939531
1341;-38,841078;-62,011272;65,83268517
1344;-39,095294;-62,709797;39,05419815
1347;-38,713706;-62,020956;21,2402335
1349;-38,899939;-62,530039;46,35061129
1350;-39,124958;-62,737175;35,26641973
1352;-39,083028;-62,807042;12,9457751
1356;-39,393333;-62,618333;21,68848281
2472;-39,535806;-62,790722;31,08385066
2623;-40,310028;-63,376694;23,72882033
2627;-40,288028;-62,766528;21,12729988
2628;-36,108159;-60,387071;15,35364259
2631;-40,461472;-62,783083;17,11853568
2632;-36,083928;-58,706985;82,44966912
2633;-36,269492;-59,732887;112,2765501
2634;-36,106639;-60,384309;53,70946114
2635;-36,161258;-60,414482;100,0537061
2638;-36,047579;-58,705325;19,67629617
2642;-36,307682;-59,174426;19,8214232
2643;-36,269144;-58,736275;55,72046504
2644;-40,466639;-62,797069;30,47303346
2647;-40,686044;-63,296111;19,4904435
2670;-40,055472;-62,590139;17,30500974
2674;-36,159585;-60,412618;16,58842294
2679;-40,524611;-62,376639;32,47974534
2682;-39,610528;-62,808917;48,20624288
2685;-36,363754;-61,684832;54,647873
2686;-36,600537;-61,713884;16,34379267
2690;-36,970286;-58,179486;47,98838079
2700;-37,736111;-58,483333;204,5161662
2707;-36,386034;-59,389274;130,2206391
2708;-36,44815;-59,126245;110,444361
2709;-36,677778;-60,472222;29,96789439
2710;-36,691154;-60,228559;88,95407763
2711;-36,843936;-60,450759;96,58227287
2712;-36,944677;-60,426314;117,9485314
2713;-36,766829;-59,115676;108,4164452
2714;-36,956582;-59,277166;130,0027427
2715;-37,145436;-61,236929;101,2021745
2716;-37,170563;-61,126443;74,71696971
2717;-37,11826;-60,335211;136,0304012
2718;-37,09873;-60,40875;74,99006775
2719;-37,184562;-60,419527;118,875317
2720;-37,180943;-60,317482;116,5397726
2721;-37,283576;-59,475147;123,5821622
2722;-37,154167;-58,877778;61,42678576
2723;-37,581966;-60,817359;82,72458588
2725;-38,033333;-61,466667;79,85450568
2726;-38,006483;-58,517943;111,5285085
2737;-38,503194;-63,325278;27,70081414
2763;-36,835959;-60,205196;130,7406987
2764;-37,183748;-61,090163;82,36489061
2765;-37,221157;-59,829603;135,2343735
2766;-37,193596;-59,969895;157,7763413
2767;-37,377956;-61,472331;173,4824928
2768;-37,365404;-60,955252;92,21872821
2769;-37,456248;-60,802663;26,79243722
2770;-37,374822;-60,574877;50,4239425
2771;-37,361479;-60,723174;22,97121955
2773;-37,540161;-60,872671;48,05236994
2774;-37,470591;-60,698317;26,00821253
2776;-36,563333;-63,349167;22,66717152
2777;-36,84632;-61,96948;17,93157895
2778;-37,236389;-63,240278;43,16435667
2780;-37,090204;-62,711668;41,24328588
2781;-37,188382;-62,981685;43,53987852
2782;-37,051023;-62,369382;59,61386553
2782;-37,051023;-62,369382;59,61386553
2783;-37,185791;-62,417345;71,97814995
2784;-37,181802;-62,418738;61,70152349
2785;-37,641116;-62,880374;45,69340486
2786;-37,559838;-62,977308;40,66176623
2787;-37,52752;-62,861484;54,64043012
2788;-37,621368;-62,968652;46,89872024
2789;-37,530913;-62,605622;103,4899461
2790;-37,622113;-62,520214;66,09975659
2791;-37,636348;-62,542422;94,96331727
2792;-37,519352;-62,06262;66,22109369
2793;-37,705859;-62,435872;96,79288849
2794;-37,965388;-62,380411;39,93352308
2795;-37,911565;-62,17656;70,29524656
2796;-38,274466;-58,367518;36,88151678
2797;-38,345466;-58,163923;78,36981773
2798;-38,320833;-61,156389;80,29843945
2799;-38,243832;-60,761747;48,89999265
2800;-38,027927;-60,244313;82,2936498
2801;-38,247338;-60,268303;59,01010274
2802;-38,143606;-58,661675;105,8674304
2803;-38,260668;-58,968039;127,2866617
2804;-38,319632;-58,597607;57,29602844
2805;-38,303778;-58,630134;91,4644979
2806;-38,414291;-61,215505;77,30089908
2807;-38,449819;-61,13691;64,49054255
2808;-38,450559;-60,674808;60,32128861
2809;-38,343757;-60,471029;79,7560202
2810;-38,411625;-60,117623;118,0846072
2811;-38,345423;-59,948454;63,11011157
2813;-38,479162;-59,526488;62,02373927
2814;-38,449042;-59,521259;43,72412637
2815;-38,430059;-59,482203;51,82661365
2816;-38,497836;-59,351091;44,11381753
2817;-38,354139;-59,238684;101,0971899
2818;-38,432637;-59,175369;61,20385961
2819;-38,608621;-59,375287;115,9530274
2820;-38,454193;-58,584368;139,5692779
2822;-38,620616;-58,918788;132,8795759
2823;-38,54756;-58,559853;9,885426202
2824;-38,794167;-59,783611;126,237749
2827;-38,768611;-59,661111;60,96561036
2828;-38,702336;-59,36891;141,2369614
2830;-38,886111;-63,216778;27,3029289
2843;-38,824861;-62,848667;44,38712651
2844;-38,766222;-62,658472;22,38276324
2845;-38,720722;-62,542639;35,01951299
2856;-39,264139;-63,313306;41,40147285
2857;-38,995222;-62,946083;22,0607532
2862;-39,110361;-63,100722;18,22209086
2863;-38,90625;-62,82625;17,5411322
2866;-36,925;-62,703528;32,53636994
2867;-36,906556;-62,692028;41,06431844
2868;-37,099983;-62,718533;67,6740797
2869;-37,8015;-62,695694;80,03721405
2877;-37,678167;-62,690333;62,45091133
2878;-37,759278;-62,691222;87,89990895
2879;-37,379583;-62,694472;87,36696726
2880;-37,556222;-62,698722;92,01868932
2881;-37,56525;-62,698556;72,43893504
2885;-36,219278;-61,576389;34,56709127
2892;-37,207754;-61,076031;58,36970017
2893;-36,177194;-61,530222;62,98546961
2911;-37,470622;-60,642322;92,83374428
2914;-37,081025;-59,87302;81,10958891
2948;-37,576014;-60,818033;77,86196969
2964;-38,606;-62,068514;21,42662107
2979;-38,487528;-61,636028;61,31770458
3026;-38,205278;-60,93525;78,257304
3027;-37,532389;-60,483667;67,74892301
3171;-36,701333;-58,965917;80,15146469
3172;-36,837722;-60,203889;37,37731688
3173;-36,837722;-60,203889;52,05463667
3174;-37,469;-59,319556;54,59456018
3175;-37,497806;-59,367167;95,61539436
3207;-36,650306;-60,090083;54,4108908
3233;-36,091667;-58,052806;54,18103943
3823;-36,082112;-58,09339;105,601549
3826;-36,057402;-58,150018;47,29793289
3838;-36,101566;-58,163313;89,38429662
3852;-36,294161;-58,077758;47,6693418
5634;-39,398333;-62,628333;26,7427364
5635;-39,396667;-62,63;19,61151518
5636;-39,396667;-62,628333;20,32976461
5637;-39,395;-62,626667;24,56180839
5638;-39,391667;-62,625;21,94624931
5639;-39,388333;-62,618333;29,92534612
5640;-39,39;-62,618333;14,49439934
5948;-39,431111;-62,631667;33,10152441
5949;-39,431667;-62,63;32,82460956
5951;-39,463889;-62,63;54,77209336
5952;-39,463889;-62,63;42,92862208
